name,Year,Series,Value,Source
"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,985.60","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,514.41","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,471.20","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2010,Population density,53.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,426.60","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,737.40","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,689.19","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2015,Population density,57.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2015,Surface area (thousand km2),"136,162","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
"Total, all countries or areas",2020,Population mid-year estimates (millions),"7,840.95","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2020,Population mid-year estimates for males (millions),"3,943.61","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2020,Population mid-year estimates for females (millions),"3,897.34","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2020,Sex ratio (males per 100 females),101.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2020,Population aged 0 to 14 years old (percentage),25.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2020,Population aged 60+ years old (percentage),13.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2020,Population density,60.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2020,Surface area (thousand km2),"130,094","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
"Total, all countries or areas",2022,Population mid-year estimates (millions),"7,975.11","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2022,Population mid-year estimates for males (millions),"4,008.58","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,966.53","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
"Total, all countries or areas",2022,Population density,61.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2010,Population mid-year estimates (millions),"1,055.23","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2010,Population mid-year estimates for males (millions),525.87,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2010,Population mid-year estimates for females (millions),529.37,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2010,Sex ratio (males per 100 females),99.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2010,Population aged 0 to 14 years old (percentage),41.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2010,Population aged 60+ years old (percentage),5.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2010,Population density,35.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2015,Population mid-year estimates (millions),"1,201.11","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2015,Population mid-year estimates for males (millions),599.30,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2015,Population mid-year estimates for females (millions),601.81,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2015,Sex ratio (males per 100 females),99.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2015,Population aged 0 to 14 years old (percentage),41.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2015,Population aged 60+ years old (percentage),5.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2015,Population density,40.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2015,Surface area (thousand km2),"30,311","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Africa,2020,Population mid-year estimates (millions),"1,360.68","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2020,Population mid-year estimates for males (millions),679.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2020,Population mid-year estimates for females (millions),681.32,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2020,Sex ratio (males per 100 females),99.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2020,Population aged 0 to 14 years old (percentage),40.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2020,Population aged 60+ years old (percentage),5.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2020,Population density,46.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2020,Surface area (thousand km2),"29,648","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Africa,2022,Population mid-year estimates (millions),"1,426.74","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
